SITE_ID,RAN_SW_VENDOR,CUSTOM_K8_ID_CUS,CUSTOM_GNODEB_NAME,CUSTOM_GNODEB_SITE_NUMBER,CUSTOM_K8_ID_DUS
ALALB00001C,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311003,1,1
ALALB00003A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,1,1
ALALB00005A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,1,1
ALALB00006A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,2,1
ALALB00007A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311006,1,1
ALALB00008A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,2,1
ALALB00009A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311003,2,1
ALALB00010A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,3,1
ALALB00012A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,3,7
ALALB00013A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,4,7
ALALB00014A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,5,7
ALALB00015A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311004,1,7
ALALB00017A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311006,2,7
ALALB00019A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311006,3,7
ALALB00022C,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311004,2,7
ALALB00027A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311004,3,1
ALALB00028B,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311004,4,1
ALALB00029A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,4,7
ALALB00031A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,5,7
ALALB00032A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311001,1,7
ALALB00033A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311003,3,7
ALALB00034A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311003,4,1
ALALB00036A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311001,2,1
ALALB00037A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,6,7
ALALB00038A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311001,3,7
ALALB00039A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311004,5,1
ALALB00040A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311004,6,1
ALALB00041A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311001,4,1
ALALB00043A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,6,7
ALALB00044A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,7,7
ALALB00045A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311001,5,7
ALALB00046A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,7,1
ALALB00047A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311006,4,1
ALALB00048A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,8,7
ALALB00049B,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311003,5,7
ALALB00051A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311002,8,1
ALALB00052A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311005,9,7
ALALB00053A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311006,5,1
ALALB00057A,Mavenir,mv-bedc-eks-cluster-prod-use1nycb318p1-01,ALALB311006,6,1
