AOI,Region,Market,Vendor,Count of Sites,40% CU/DU Ready  Date,EDC ID (PEDC),AWS Region,
ABQ,West,Phoenix,Mavenir,63,6/8/2022,PXABQP0001A,W2,SDDC1
ABY,South,Atlanta,Mavenir,45,4/4/2022,ATATLP0002A,E1,SDDC1
ALB,Northeast,Albany,Mavenir,85,1/11/2023,NJJERP0001A,E1,SDDC3
ATL,South,Atlanta,Samsung,750,12/6/2022,ATATLP0002A,E1,SDDC3
AUG,Northeast,Boston,Samsung,10,10/31/2024,BOBOSP0001A,E1,SDDC11
AUS,South,Austin,Samsung,304,8/26/2022,HOHOUP0002A,E2,SDDC11
AVL,Central,Knoxville,Mavenir,155,10/7/2022,CLCLTP0002A,E1,SDDC2
BDL,Northeast,Boston,Mavenir,193,7/28/2022,BOBOSP0001A,E1,SDDC2
BHM,South,Atlanta,Mavenir,429,6/7/2022,ATATLP0002A,E1,SDDC1
BIL,West,Seattle,Samsung,41,2/25/2023,SEGEGP0001A,W2,SDDC1
BIS,Central,Minneapolis,Mavenir,28,4/5/2022,MNBISP0001A,E2,SDDC2
BNA,Central,Nashville,Mavenir,192,4/21/2022,NABNAP0001A,E1,SDDC3
BOI,West,Salt Lake City,Mavenir,34,6/10/2022,PRPDXP0001A,W2,SDDC1
BOS,Northeast,Boston,Samsung,899,7/28/2023,BOBOSP0001A,E1,SDDC11
CAE,South,Charlotte,Samsung,192,1/18/2024,ATATLP0002A,E1,SDDC11
CHI,Central,Chicago,Samsung,512,3/6/2023,CHCHIP0002A,E2,SDDC11
CHS,South,Charlotte,Samsung,184,3/16/2023,CLCLTP0002A,E1,SDDC11
CLE,Central,Cleveland,Mavenir,308,5/6/2022,CVCLEP0001A,E2,SDDC1
CLT,South,Charlotte,Mavenir,307,5/20/2022,CLCLTP0002A,E1,SDDC1
CMH,Central,Cleveland,Mavenir,307,6/3/2022,"CVCLEP0001A
CVCMHP0001A",E2,SDDC1
CPA,Northeast,Philadelphia,Mavenir,108,5/13/2022,"NJJERP0001A
PHPHLP0001A",E1,SDDC1
CPR,Central,Denver,Mavenir,7,6/2/2022,DNDENP0001A,W2,SDDC1
CRP,South,Austin,Mavenir,129,7/12/2022,HOHOUP0002A,E2,SDDC4
CRW,Central,Cleveland,Samsung,143,6/5/2023,CVCMHP0001A,E2,SDDC11
CVG,Central,Cleveland,Samsung,209,12/6/2022,"CVCMHP0001A
CVCVGP0001A",E2,SDDC11
DAL,South,Dallas,Mavenir,524,5/16/2022,DADALP0001A,E2,SDDC2
DEN,Central,Denver,Samsung,344,1/6/2023,DNDENP0001A,W2,SDDC11
