site,cz_data
NYNYC01509B,use1mk011-02
NYNYC01499C,use1mk011-02
DCWDC00706C,use1mk003
SESEA00354B,usw2mk001
RIRIC00258A,use1mk002
BOBOS00100A,use1mk002
CVCMH00983B,use2mk001
LSSNA01058A,usw2mk011-02
SESEA03006A,usw2mk001
DADAL00028B,use2mk002
PXRAZ00046A,usw2mk001
CHCHI00354A,use2mk011-01
DEDET00635A,use2mk002
SYSYR00058A,use1mk002
ORTPA00539A,use1mk003
NJJER02026A,use1mk011-03
SLSLC00076B,usw2mk001
CLCHS00078A,use1mk011-04
HOHOU00616A,use2mk001
KNAVL00137A,use1mk002
CVCLE00452A,use2mk001
AUAUS00255A,use2mk004
DNCPR00008B,usw2mk001
CHCHI00700B,use2mk002
HOHOU00220A,use2mk001
SEBIL00001A,usw2mk001
NJJER01531A,use1mk011-03
LSSNA03085B,usw2mk011-02
PXPHX00125A,usw2mk011-01
SESEA00194A,usw2mk011-02
BOBDL00164A,use1mk002
OKOKC00007A,use2mk003
NYNYC01113A,use1mk011-02
HOHOU00090A,use2mk001
CLCLT00129A,use1mk001
MNMSP00488A,use2mk002
ATATL00456A,use1mk001
CLCAE00005A,use1mk001
BOHVN00147A,use1mk011-01
ATABY00007A,use1mk001
SDSAN00343B,usw2mk001
ORTPA00263A,use1mk003
KNAVL00017A,use1mk002
SESEA00234A,usw2mk001
BOBOS00736A,use1mk002
OKFYV00020A,use2mk003
OROCF00081A,use1mk003
MIMIA00724A,use1mk011-05
DEGRR00047A,use2mk011-01
HOHOU00340A,use2mk001
SLBOI00031A,usw2mk001
DCWDC00550A,use1mk003
NYNYC01233B,use1mk011-02
DEDET00515A,use2mk003
SFSFO00159A,usw2mk011-01
BOHVN00027A,use1mk011-01
DNDEN00181A,usw2mk011-02
NJJER01651A,use1mk011-03
OKFYV00166C,use2mk003
PHPHL00675A,use1mk011-03
BOBOS00486A,use1mk002
AUAUS00015C,use2mk004
DEGRR00167A,use2mk011-01
ORTPA00048A,use1mk011-05
NYNYC01749C,use1mk011-02
DNDEN00087A,usw2mk011-02
NJJER01797A,use1mk011-03
ATATL00576B,use1mk001
AUCRP03020A,use2mk004
AUWCO00073A,use2mk011-02
OKFYV00046A,use2mk003
OKLIT00107A,use2mk003
NJJER01677B,use1mk011-03
NYNYC01353B,use1mk011-02
HOHOU00366A,use2mk001
CLFAY00201A,use1mk011-04
NYNYC01724A,use1mk002
BOPWM00003A,use1mk002
PHPHL00435A,use1mk011-03
SDSAN00103B,usw2mk001
CLRDU00654A,use1mk001
ATATL00086A,use1mk001
MNMSP00342B,use2mk002
NAMEM00249A,use1mk003
SCRNO00043A,usw2mk001
NYNYC01473B,use1mk011-02
CLCAE00245A,use1mk001
CLCHS00173A,use1mk001
PHPHL00555A,use1mk011-03
OKLIT00097B,use2mk003
SDSAN00489A,usw2mk001
DADAL00268A,use2mk002
KCRNE00048B,use2mk004
CVCLE00082A,use2mk001
RIRIC00508B,use1mk002
NJJER01807A,use1mk011-02
HOHOU00486A,use2mk001
SDSAN00369B,usw2mk001
DADAL00148B,use2mk002
LSSNA00073B,usw2mk011-02
PHPHL00770A,use1mk001
JKMSY00032B,use2mk004
CLFAY00191A,use1mk011-04
JKMGM00214A,use1mk011-05
CLRDU00534A,use1mk001
NJJER01411A,use1mk011-03
DEDET00755A,use2mk003
CHCHI00940A,use2mk002
SEGEG00068A,usw2mk001
NYNYC01844B,use1mk002
OROCF00117A,use1mk003
BOBOS00340A,use1mk002
PXPHX00395B,usw2mk001
